fdc_id,alimento,energía_kcal,proteína_g,grasa_lípida_total_g,carbohidratos_por_diferencia_g,fibra_total_dietaria_g,azúcares_total_incluido_nlea_g,calcio_ca_mg,hierro_fe_mg,magnesio_mg_mg,fósforo_p_mg,potasio_k_mg,sodio_na_mg,zinc_zn_mg,cobre_cu_mg,manganeso_mn_mg,selenio_se_ug,yodo_i_ug,cromo_cr_ug,molibdeno_mo_ug,cloruro_cl_mg,fluoruro_f_ug,vitamina_a_rae_ug,vitamina_c_total_ácido_ascórbico_mg,vitamina_d_d2_plus_d3_ug,vitamina_e_alfa_tocoferol_mg,vitamina_k_filoquinona_ug,tiamina_mg,mg_riboflavina,niacina_mg,ácido_pantoténico_mg,vitamina_b_6_mg,folato_total_ug,vitamina_b_12_ug,colina_total_mg,biotina_ug,vitamina_a_iu_iu
167607,"Alce, carne, cruda (Nativos de Alaska)",103,22.3,1.5,0,0,,5,3.28,23,165,317,65,2.8,0.067,0.008,,,,,,,0,4,,,,0.07,0.24,5,,,,,,,0
167608,"Raíces de Mashu, crudas (Nativos de Alaska)",135,5.8,2.4,22.6,,,,,,67,,,,,,,,,,,,,11,,,,0.1,0.07,1.3,,,,,,,16
167610,"Foca barbuda (Oogruk), carne, cruda (Nativos de Alaska)",110,26.7,0.4,0,,,10,12.9,,198,,,,,,,,,,,,,,,,,0.2,0.26,5.9,,,,,,,1400
167612,"Oopah (tunicado), animal entero (Nativo de Alaska)",67,11.7,2.2,0,,,53,20.7,,103,,,,,,,,,,,,,,,,,,0.1,0.9,,,,,,,
167613,"Búho, cornudo, carne, crudo (Nativo de Alaska)",136,22.7,5,0,,,16,4.8,,218,,,,,,,,,,,,,,,,,,,,,,,,,,350
167616,"Pescado, salmón, rey, chinook, hígado (Nativos de Alaska)",156,16.6,8,4.3,,,28,2.6,,412,,,,,,,,,,,,,,,,,0.1,0.7,5,,,,,,,3140
167617,"Pato, negrón, ala blanca, carne (Nativos de Alaska)",84,20.2,0.4,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
167618,"Pepino de mar, yane (Nativo de Alaska)",56,13,0.4,0,,,30,0.6,,,,,,,,,,,,,,,,,,,0.05,0.94,3.2,,,,,,,310
167619,"Ardilla, molida, carne (Nativos de Alaska)",111,19.3,3.8,0,,,,4.7,,175,,,,,,,,,,,,,,,,,,,,,,,,,,220
167621,"Morsa, carne, seca (Nativos de Alaska)",251,57,2.6,0,,,,43,,415,,,,,,,,,,,,,,,,,0.21,0.79,10.1,,,,,,,410
167622,"Ciervo (venado), sitka, crudo (Nativo de Alaska)",116,21.5,2.66,0,,,7,2.9,,,,,,,,,,,,,,0,0,,,,0.2,0.36,6.6,,,,,,,0
167623,"Ballena, ballena de Groenlandia, grasa subcutánea (grasa) (Nativos de Alaska)",870,0.4,96.5,0,,,,0.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
167624,"Ballena, ballena de Groenlandia, piel y grasa subcutánea (muktuk) (Nativos de Alaska)",465,12.6,46.1,0,,,5,,,87,,,,,,,,,,,,,,,,,0.08,0.02,0.8,,,,,,,750
167625,"Petróleo, ballena, ballena de Groenlandia (nativos de Alaska)",900,0,100,0,,,0,0,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,2810
167626,"Pescado, pescado blanco, anchoa, hígado (Nativos de Alaska)",104,11,4.4,5.1,,,53,8.6,,297,,,,,,,,,,,,,,,,,0.18,0.54,2.7,,,,,,,1510
167628,"Harina de maíz, azul (Navajo)",398,10.4,5.44,76.93,8.7,,5,2.91,133,354,393,7,2.91,0.218,0.758,11.8,,,,,,,0,,0.73,0,0.285,0.107,2.02,0.353,0.593,58,,,,
167629,"Melón, plátano (Navajo)",21,0.84,0.2,4.06,0.3,,13,0.21,10,9,140,11,0.14,0.035,0.036,0.4,,,,,,,8.1,,0,4.9,0.02,0.018,0.46,0.07,0.05,20,,,,
167631,"Maíz, seco (Navajo)",386,9.88,5.22,74.93,,,15,1.92,124,337,511,13,3.05,0.195,0.848,,,,,,,,0,,0,0.9,0.2,0.068,3.3,0.38,0.372,77,,,,
167633,"Pan, arrodíllate (Navajo)",195,4.29,2.21,39.47,,,5,1.11,55,164,320,126,1.46,0.095,0.303,11.9,,,,,,,,,0,0.3,0.12,0.132,2.49,0.354,,98,,,,
167636,Tamales (Navajos),153,6.28,6.12,18.12,3.1,,29,1.22,22,99,131,427,1.48,0.063,0.174,6,,,,,,0,1.7,,0,,0.05,0.08,1.59,0.205,0.143,15,0.54,,,0
167639,"Pescado, salmón, coho (plata), crudo (Nativos de Alaska)",140,22.56,5.57,0,0,,5,0.55,28,240,380,58,0.41,0.051,,27.6,,,,,,30,0,,0.81,0.2,0.152,0.189,7.93,1.23,0.225,13,8.52,,,100
167640,"Arándanos, silvestres, crudos (Nativos de Alaska)",61,1.22,0.76,12.31,2.6,,13,0.37,7,29,75,6,0.2,0.03,2,,,,,,,6,18.3,0,1.69,17.2,0.067,0.414,0.597,0.265,0.026,33,0,,,115
167641,Aceite de foca manchada (nativo de Alaska),894,0,99.32,0,0,,0,0,0,0,0,0,0,0,0,2.2,,,,,,1044,0,0.7,6.28,0,0,0,0,0,0,0,0,,,3480
167643,"Pescado, pescado blanco, huevos (Nativos de Alaska)",104,14.66,2.88,4.89,0,,46,5.95,30,306,190,160,2.1,0.22,0.22,92.8,,,,,,91,12,,2.68,0.6,0.088,0.403,0.956,1.06,0.159,53,56.4,247.5,,305
167644,"Caribú, carne de grupa, medio seca (Nativo de Alaska)",255,52.06,5.23,0,0,,14,11,60,480,710,390,9.4,0.6,0.099,30.5,,,,,,52,0,,0.09,1.1,0.333,1.24,13.2,2.94,0.62,3,7.16,202.7,,173
167646,"Pescado, salmón, rojo (rojo), ahumado (nativo de Alaska)",141,24.5,4.75,0,0,,54,0.49,31,280,400,460,0.75,0.148,0.037,33.5,,,,,,15,0,2,0.44,0,0.094,0.23,8.52,0.917,0.287,6,4.98,88.2,,50
167648,"Pescado, shefish, crudo (Nativos de Alaska)",115,22.25,2.84,0,0,,140,0.5,25,300,390,52,0.6,0.148,0.037,42.3,,,,,,0,0,,0.44,0,0.041,0.126,2.12,0.648,0.162,9,5.9,108.9,,0
167649,"Búfalo, criado en libertad, filete redondo superior, crudo (Shoshone Bannock)",97,21.44,1.3,0,,,3,2.61,22,200,355,43,3,0.117,0.011,7,,,,,,,,,,,0.153,0.325,6.92,0.76,0.78,,1.15,,,
167650,"Foca, barbuda (Oogruk), carne, parcialmente seca (Nativo de Alaska)",270,62.38,2.31,0,,,9,33,62,510,960,130,5,0.31,0.037,,,,,,,0,0,,0.07,0,,,,,,0,,103,,0
167652,"Alce, criado en libertad, asado, ojo redondo, crudo (Shoshone Bannock)",98,19.74,2.1,0,0,,4,2.27,24,215,367,43,4.16,0.144,0.011,15.8,,,,,,0,0,,,,0.159,0.27,6.63,0.63,0.893,,1.77,,,0
167653,"Maíz, seco, amarillo (Indios de las Llanuras del Norte)",419,14.48,10.64,66.27,20.5,,25,2.61,149,344,775,4,3.06,0.293,0.9,56.5,,,,,,13,0,0,0.44,,0.261,0.181,8.25,1.59,1.11,111,0,,,261
167654,"Fundido, seco (Nativo de Alaska)",386,56.19,17.9,0,0,,1600,5.4,89,1400,1000,420,6.7,0.148,0.72,194,,,,,,139,,,4.51,0,0.073,0.262,5.97,2.29,0.176,,19.1,,,463
167656,Corned beef y papas en tortilla (Apache),224,7.91,8.31,29.35,1.5,,27,1.8,22,82,275,511,0.88,0.066,0.31,11.3,,,,,,,,,0.2,3.1,0.277,0.135,2.545,,0.214,70,0.23,,,
167672,"DENNY'S, papas fritas",282,3.41,14.13,35.2,3.5,,14,0.72,27,115,492,44,0.46,0.111,0.179,0.4,,,,,,,1.6,,0.98,28.8,0.12,0.048,2.717,0.61,0.22,15,,,,
167673,"DENNY'S, filete de solomillo superior",182,28.9,7.34,0.14,,,6,3.27,24,264,341,349,5.26,0.118,0.017,0,,,,,,,,,,1,0.05,0.22,5.31,0.74,0.613,,2.7,,,
167682,"Pectina, líquida",11,0,0,2.1,2.1,,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0
167685,"Bolonia, ternera y cerdo, baja en grasas",230,11.5,19.3,2.6,0,,11,0.66,12,181,156,1108,1.5,0.08,,11.2,,,,,,0,0,0.5,0.22,0.3,0.17,0.13,2.54,,0.18,5,1.31,48.2,,0
167688,"Sustituto de crema, en polvo, ligero",431,1.9,15.7,73.4,0,,1,0.03,0,136,902,229,0.02,0.01,,0.8,,,,,,1,0,0,0.26,3.9,0,0,0,,0,1,0,2.3,,15
167691,"Untable de mantequilla y aceite vegetal, reducido en calorías",465,0,53,0,0,,6,0.04,0,10,6,581,0.01,0.001,,0.5,,,,,,819,0,0,9.2,61.1,0,0.01,0.01,,0,1,0,6.5,,3577
167697,"Leche, suero de leche, líquida, cultivada, reducida en grasa",56,4.1,2,5.3,0,,143,0.06,13,82,180,105,0.24,0.008,,2.3,,,,,,16,1.5,0,0.11,0.1,0.05,0.21,0.1,,0.03,6,0.37,16,,58
167702,Aceite de linaza prensado en frío.,884,0.11,99.98,0,0,,1,0,0,1,0,0,0.07,0,0,0,,,,,,0,0,0,0.47,9.3,0,0,0,,0,0,0,0.2,,0
167703,"Queso, requesón, bajo en grasa, 1% de grasa láctea, reducción de lactosa",74,12.4,1,3.2,0.6,,53,0.14,5,134,86,220,0.38,0.028,,9,,,,,,11,0,0,0.01,0.1,0.02,0.16,0.13,,0.07,12,0.63,17.5,,40
167705,"Queso, parmesano, bajo en sodio.",451,41.6,29.99,3.7,0,,800,0.95,51,807,107,63,3.19,0.037,,23.9,,,,,,125,0,0.6,0.27,2,0.04,0.39,0.32,,0.1,10,1.4,15.4,,463
167706,"Confituras, conservas, mermeladas, azúcar reducida",151,0,0.1,37.6,1.5,,0,0,4,7,59,0,0.05,0.038,0.288,0.4,,,,,3.3,0,15,0,0.21,1.6,0.01,0.02,0.08,0.092,0.02,18,0,4.2,,9
167714,"Corazones de palma, crudos",115,2.7,0.2,25.61,1.5,,18,1.69,10,140,1806,14,3.73,0.644,,0.7,,,,,,3,8,0,0.5,0,0.05,0.18,0.9,,0.81,24,0,0,,68
167717,Untable de extracto de levadura,185,23.88,0.9,20.42,6.5,,67,4.04,180,104,2100,3380,4.19,0.245,0.261,27.6,,,,,,0,0,0,0,0,23.375,17.5,127.5,4.6,0,3786,0.5,65.1,,0
167722,yogur de tofu,94,3.5,1.8,15.96,0.2,,118,1.06,40,38,47,35,0.31,0.075,,13,,,,,,2,2.5,0,0.31,3.5,0.06,0.02,0.24,,0.02,6,0,48.4,,33
167724,Mijo inflado,354,13,3.4,80,2.7,,8,2.81,106,266,40,5,1.58,0.702,,2.9,,,,,,0,0,0,0.66,1.4,0.39,0.27,4.42,,0.36,79,0,23.1,,0
167730,"Leche, imitación, sin soja",46,1.6,2,5.3,0,,82,0.1,1,100,150,55,0.1,0.02,,1.8,,,,,,61,0,1.1,0,0,0,0,0.1,,0,0,0,0,,203
167735,"Queso, mozzarella, bajo en sodio.",280,27.5,17.1,3.1,0,,731,0.25,26,524,95,16,3.13,0.027,,15.7,,,,,,137,0,0.3,0.15,1.8,0.02,0.34,0.12,,0.08,9,0.92,18.4,,517
167744,"Moluscos, caracoles, crudos",90,16.1,1.4,2,0,,10,3.5,250,272,382,70,1,0.4,,27.4,,,,,,30,0,0,5,0.1,0.01,0.12,1.4,,0.13,6,0.5,65,,100
167745,"Tortuga, verde, cruda",89,19.8,0.5,0,0,,118,1.4,20,180,230,68,1,0.25,,16.8,,,,,,30,0,0,0.5,0.1,0.12,0.15,1.1,,0.12,15,1,65,,100
167746,"Limones, crudos, sin piel.",29,1.1,0.3,9.32,2.8,,26,0.6,8,16,138,2,0.06,0.037,0.03,0.4,,,,,,1,53,0,0.15,0,0.04,0.02,0.1,0.19,0.08,11,0,5.1,,22
167749,"Cáscara de limón, cruda",47,1.5,0.3,16,10.6,,134,0.8,15,12,160,6,0.25,0.092,,0.7,,,,,,3,129,0,0.25,0,0.06,0.08,0.4,0.319,0.172,13,0,8.5,,50
167750,"Higos chumbos, crudos",41,0.73,0.51,9.57,3.6,,56,0.3,85,24,220,5,0.12,0.08,,0.6,,,,,,2,14,,,,0.014,0.06,0.46,,0.06,6,0,,,43
167754,"Pomelo, crudo",38,0.76,0.04,9.62,1,,4,0.11,6,17,216,1,0.08,0.048,0.017,,,,,,,0,61,,,,0.034,0.027,0.22,,0.036,,0,,,8
167755,"Frambuesas, crudas",52,1.2,0.65,11.94,6.5,,25,0.69,22,29,151,1,0.42,0.09,0.67,0.2,,,,,,2,26.2,0,0.87,7.8,0.032,0.038,0.598,0.329,0.055,21,0,12.3,,33
167758,"Ruibarbo, crudo",21,0.9,0.2,4.54,1.8,,86,0.22,12,14,288,4,0.1,0.021,0.196,1.1,,,,,,5,8,0,0.27,29.3,0.02,0.03,0.3,0.085,0.024,7,0,6.1,,102
167761,"guanábana, cruda",66,1,0.3,16.84,3.3,,14,0.6,21,27,278,14,0.1,0.086,,0.6,,,,,,0,20.6,0,0.08,0.4,0.07,0.05,0.9,0.253,0.059,14,0,7.6,,2
167762,"Fresas, crudas",32,0.67,0.3,7.68,2,,16,0.41,13,24,153,1,0.14,0.048,0.386,0.4,,,,,4.4,1,58.8,0,0.29,2.2,0.024,0.022,0.386,0.125,0.047,24,0,5.7,,12
167763,"Tamarindos, crudos",239,2.8,0.6,62.5,5.1,,74,2.8,92,113,628,28,0.1,0.086,,1.3,,,,,,2,3.5,0,0.1,2.8,0.428,0.152,1.938,0.143,0.066,14,0,8.6,,30
167765,"Sandía, cruda",30,0.61,0.15,7.55,0.4,,7,0.24,10,11,112,1,0.1,0.042,0.038,0.4,,,,,1.5,28,8.1,0,0.05,0.1,0.033,0.021,0.178,0.221,0.045,3,0,4.1,,569
167776,"Peras, crudas, bartlett (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)",63,0.39,0.16,15.01,3.1,,9,0.19,6,11,101,1,0.08,0.078,0.037,0.1,,,,,,1,4.4,,0.12,3.8,0.012,0.026,0.164,0.042,0.026,6,,5.1,,28
167777,"Peras crudas, anjou rojo",62,0.33,0.14,14.94,3,,11,0.19,7,13,123,1,0.13,0.07,0.056,0.1,,,,,,1,5.2,,0.12,4.9,0.012,0.028,0.162,0.053,0.039,7,,5.1,,24
167778,"Peras, crudas, bosc (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)",67,0.36,0.09,16.1,3.1,,10,0.15,7,14,122,1,0.13,0.104,0.047,0,,,,,,1,2.8,,0.12,5.2,0.012,0.023,0.152,0.057,0.021,7,,5.1,,19
167779,"Peras, crudas, anjou verde (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)",66,0.44,0.1,15.79,3.1,,11,0.24,7,13,127,1,0.1,0.077,0.048,0,,,,,,1,4.4,,0.12,4.3,0.01,0.022,0.151,0.043,0.026,9,,5.1,,25
167780,puré de ciruelas pasas,257,2.1,0.2,65.1,3.3,,31,2.8,,72,852,23,,,,,,,,,,100,4.3,,,,0.04,,2.5,0.43,,,,,,2000
167781,fruta confitada,322,0.34,0.07,82.74,1.6,,18,0.17,4,5,56,98,0.05,0.029,0.111,0.6,,,,,,1,0,0,0.04,0.3,0,0,0,,0,0,0,2.2,,19
167782,"Abiyuch, crudo",69,1.5,0.1,17.6,5.3,,8,1.61,24,47,304,20,0.31,0.057,0.182,,,,,,,5,54.1,,,,,,,,,,,,,100
167783,"Rowal, crudo",111,2.3,2,23.9,6.2,,15,2.2,32,52,131,4,0.43,1.06,0.155,,,,,,,19,25.8,,,,,,,,,,,,,383
167791,Melón de cuernos (kiwano),44,1.78,1.26,7.56,,,13,1.13,40,37,123,2,0.48,0.02,0.039,,,,,,,7,5.3,,,,0.025,0.015,0.565,0.183,0.063,3,,,,147
167806,polvo de baobab,250,3.69,0.47,79.65,44.5,,342,8.42,158,47,2189,10,0.92,,,0,,,,,,,173.2,,,,0.03,0.074,19.983,,2.414,43,,,,
167808,"Frambuesas, puré, sin semillas",41,1.02,0.87,7.99,0.9,,14,1.08,15,20,169,4,0.18,0.068,0.343,,,,,,,2,6.4,,1.54,,0.09,0.1,0.49,0.31,0.06,29,,,,38
167810,"Cerdo, fresco, compuesto de pierna, lomo, paleta y costillas, cortados (incluye cortes para curar), parte magra y grasa, crudo",211,18.22,14.79,0,0,,11,0.89,21,195,319,57,2.27,0.075,0.014,28.5,,,,,,1,0.3,0.7,0.12,0,0.622,0.255,4.73,0.899,0.504,3,0.67,34.7,,6
167811,"Cerdo, fresco, tocino, crudo",812,2.92,88.69,0,0,,2,0.18,2,38,65,11,0.37,0.018,0.002,8,,,,,,5,0.1,3.1,0,0,0.084,0.051,0.985,0.115,0.04,1,0.18,15.4,,15
167812,"Cerdo, fresco, panceta, crudo",518,9.34,53.01,0,0,,5,0.52,4,108,185,32,1.02,0.052,0.006,8,,,,,,3,0.3,,0.39,0,0.396,0.242,4.647,0.256,0.13,1,0.84,,,10
167813,"Cerdo, fresco, grasa separable, crudo",632,9.25,65.7,0,0,,14,0.26,6,84,333,47,0.6,0.067,0,9,,,,,,26,0,1.7,0.42,0,0.16,0.09,2.63,0.43,0.143,0,0.67,31,,86
167814,"Cerdo, fresco, pierna (jamón), mitad de lomo, parte magra y grasa, crudo",182,20.27,10.63,0,0,,12,0.62,20,216,356,73,1.7,0.079,0.009,19.7,,,,,,5,0,0.5,0.2,0,0.498,0.309,5.623,0.63,0.506,0,0.4,69.6,,16
167816,"Cerdo, fresco, pierna (jamón), mitad de lomo, sólo magro separable, crudo (Incluye alimentos para el Programa de distribución de alimentos del USDA)",120,21.81,2.93,0,0,,12,0.67,22,235,359,76,1.85,0.08,0.01,21.2,,,,,,2,0,0.3,0.16,0,0.545,0.34,6.042,0.658,0.557,0,0.36,75,,7
167818,"Cerdo, fresco, lomo, entero, parte magra y grasa, crudo",198,19.74,12.58,0,0,,18,0.79,21,197,356,50,1.74,0.056,0.011,33.2,,,,,,2,0.6,0.5,0.21,0,0.901,0.248,4.58,0.723,0.472,1,0.53,69.7,,7
167822,"Cerdo, fresco, lomo, lomo (chuletas o asados), con hueso, parte magra y grasa, crudo",194,19.56,12.27,0,0,,35,0.66,17,207,288,69,2.56,0.082,0.008,29.4,,,,,,6,0,0.7,0.21,0,0.499,0.314,6.704,1.046,0.427,0,0.55,67.2,,20
167829,"Cerdo, fresco, lomo, lomo central (chuletas), con hueso, sólo magro separable, crudo",127,21.99,3.71,0,0,,18,0.65,26,220,362,58,1.86,0.066,0.008,36,,,,,,0,0,0.4,0.13,0,0.51,0.198,6.934,0.732,0.742,0,0.5,58.5,,0
167833,"Cerdo, fresco, lomo, costilla central (chuletas o asados), con hueso, sólo magro separable, crudo",136,21.79,4.8,0,0,,24,0.61,25,216,359,60,1.97,0.068,0.009,38.3,,,,,,0,0,0.5,0.13,0,0.484,0.186,6.685,0.725,0.735,0,0.5,57.9,,0
167837,"Cerdo, fresco, lomo, solomillo (chuletas o asados), con hueso, sólo magro separable, crudo",129,21.65,4.02,0,0,,12,0.85,25,219,353,59,2.05,0.092,0.013,30.9,,,,,,0,0,0.4,0.24,0,0.517,0.292,6.344,0.875,0.803,0,0.53,83.5,,0
167839,"Cerdo, fresco, lomo, lomo superior (chuletas), sin hueso, parte magra y grasa, crudo",155,21.55,6.94,0,0,,7,0.5,26,226,373,48,1.55,0.056,0.007,33.1,,,,,,1,0,0.4,0.13,0,0.667,0.185,7.988,0.727,0.726,0,0.53,57.8,,4
167843,"Cerdo, fresco, paleta, entera, parte magra y grasa, crudo",236,17.18,17.99,0,0,,15,1.05,18,182,302,65,2.7,0.084,0.011,25.5,,,,,,2,0.7,1.7,0.19,0,0.767,0.275,3.833,0.719,0.348,5,0.74,60.6,,7
167845,"Cerdo, fresco, paleta, entera, sólo magro separable, crudo",148,19.55,7.14,0,0,,14,1.22,21,202,341,76,3.14,0.097,0.012,29.5,,,,,,2,0.8,,,,0.884,0.314,4.275,0.822,0.415,5,0.84,,,6
167849,"Cerdo, fresco, paleta (boston butt), lomo (filetes), parte magra y grasa, crudo",186,17.42,12.36,0,0,,16,1.12,20,190,318,61,3.09,0.096,0.011,26.2,,,,,,2,0,0.7,0.22,0,0.52,0.353,4.239,1.447,0.486,0,0.91,73.3,,8
167853,"Cerdo, fresco, costillas, parte magra y grasa, crudo",277,15.47,23.4,0,0,,15,0.91,16,141,242,81,2.5,0.08,0.01,22,,,,,,0,0,2.3,0.37,0,0.319,0.251,4.662,0.625,0.574,0,0.38,59.7,,0
167859,"Cerdo, fresco, variedad de carnes y subproductos, patas, crudo",212,23.16,12.59,0,0,,70,0.58,6,75,63,132,0.76,0.07,0,23.3,,,,,,0,0,,0.02,0,0.026,0.106,1.13,0.303,0.053,10,0.52,,,0
167861,"Cerdo, fresco, variedad de carnes y subproductos, grasa de hojas, crudo",857,1.76,94.16,0,0,,1,0.09,1,19,31,5,0.18,0.009,0.001,8,,,,,,0,0,,,,0.106,0.065,1.249,0,0.03,0,0.23,,,0
167862,"Cerdo, fresco, variedad de carnes y subproductos, hígado, crudo",134,21.39,3.65,2.47,0,,9,23.3,18,288,273,87,5.76,0.677,0.344,52.7,,,,,,6502,25.3,,,,0.283,3.005,15.301,6.65,0.69,212,26,,,21650
167864,"Cerdo, fresco, variedad de carnes y subproductos, pulmones, crudo",85,14.08,2.72,0,0,,7,18.9,14,196,303,153,2.03,0.083,0.017,17.8,,,,,,0,12.3,,,,0.085,0.43,3.345,0.9,0.1,3,2.75,,,0
167865,"Cerdo, fresco, variedad de carnes y subproductos, bazo, crudo",100,17.86,2.59,0,0,,10,22.32,13,260,396,98,2.54,0.131,0.072,32.8,,,,,,0,28.5,,,,0.13,0.3,5.867,1.055,0.06,4,3.26,,,0
167867,"Cerdo, fresco, variedad de carnes y subproductos, estómago, crudo",159,16.85,10.14,0,0,,11,1.01,11,130,140,75,1.85,0.169,0.038,31.1,,,,,,0,0,0,0.04,0,0.051,0.201,2.48,1.22,0.034,3,0.3,194.8,,0
167870,"Cerdo, curado, patas, en escabeche",140,11.63,10.02,0.01,0,,32,0.31,11,87,13,946,0.2,0.037,0.022,15.8,,,,,,11,0,0.4,0.21,0,0.006,0.015,0.22,0.262,0.007,1,0.21,44.5,,37
167873,"Cerdo, curado, jamón, hamburguesas, sin calentar",315,12.78,28.19,1.69,0,,8,1.05,10,149,239,1088,1.57,0.07,0.023,15.8,,,,,,0,0,,,,0.46,0.154,3.014,0.302,0.16,3,1.08,,,0
167875,"Cerdo, curado, jamón, entero, parte magra y grasa, sin calentar",246,18.49,18.52,0.06,0,,7,0.71,15,201,310,1284,1.76,0.071,0.028,15.3,,,,,,0,34.9,,0.27,0,0.777,0.189,4.463,0.467,0.41,1,0.74,,,0
167876,"Cerdo, curado, jamón, entero, sólo magro separable, sin calentar",147,22.32,5.71,0.05,0,,7,0.81,18,232,371,1516,2.04,0.079,0.035,18.8,,,,,,0,0,0.7,0.2,0,0.932,0.226,5.252,0.538,0.53,4,0.87,84.7,,0
167877,"Cerdo, curado, grasa separable (de jamón y brazo de picnic), sin calentar",579,5.68,61.41,0.09,0,,5,0.39,6,98,105,505,0.8,0.044,0.005,4.7,,,,,,0,0,0.2,0,0,0.241,0.068,1.82,0.23,0.03,1,0.33,23.2,,0
167888,"Cerdo, fresco, compuesto de cortes minoristas recortados (pierna, lomo, paleta y costillas), parte magra y grasa, crudo",216,18.95,14.95,0,0,,19,0.86,21,200,335,55,2.01,0.064,0.011,28.4,,,,,,2,0.5,,,,0.841,0.254,4.504,0.73,0.445,5,0.66,,,7
167889,"Cerdo, fresco, lomo, costilla central (chuletas o asados), sin hueso, parte magra y grasa, crudo",211,19.9,14.01,0,0,,5,0.71,20,193,384,42,1.57,0.054,0.009,32,,,,,,0,0.3,1.4,0.29,,0.779,0.247,4.638,0.703,0.417,6,0.5,,,6
167895,"Cerdo, fresco, lomo, costillas estilo campestre, parte magra y grasa, crudo",189,19.34,11.82,0,0,,22,0.85,21,193,318,63,2.78,0.078,0.011,32.3,,,,,,2,0,0.7,0.23,0,0.375,0.253,3.082,1.609,0.539,0,1,81.4,,8
167901,"Cerdo, fresco, lomo, solomillo (chuletas o asados), sin hueso, sólo magro separable, crudo",121,22.81,2.59,0,0,,9,0.56,23,251,354,63,1.72,0.069,0.011,37.4,,,,,,2,0,0.4,0.17,0,0.61,0.256,7.348,0.728,0.611,0,0.49,78.4,,7
